Frame,Control
0,STOP
1,STOP
2,STOP
3,STOP
4,STOP
5,STOP
6,STOP
7,STOP
8,STOP
9,STOP
10,STOP
11,STOP
12,STOP
13,STOP
14,STOP
15,STOP
16,STOP
17,STOP
18,STOP
19,STOP
20,STOP
21,STOP
22,STOP
23,STOP
24,STOP
25,STOP
26,STOP
27,STOP
28,STOP
29,STOP
30,STOP
31,STOP
32,STOP
33,STOP
34,STOP
35,STOP
36,STOP
37,STOP
38,STOP
39,STOP
40,STOP
41,STOP
42,STOP
43,STOP
44,STOP
45,STOP
46,STOP
47,STOP
48,STOP
49,STOP
50,STOP
51,STOP
52,STOP
53,STOP
54,STOP
55,STOP
56,STOP
57,STOP
58,STOP
59,STOP
60,STOP
61,STOP
62,STOP
63,STOP
64,STOP
65,STOP
66,STOP
67,STOP
68,STOP
69,STOP
70,STOP
71,STOP
72,STOP
73,STOP
74,STOP
75,STOP
76,STOP
77,STOP
78,STOP
79,STOP
80,STOP
81,STOP
82,STOP
83,STOP
84,STOP
85,STOP
86,STOP
87,STOP
88,STOP
89,STOP
90,STOP
91,STOP
92,STOP
93,STOP
94,STOP
95,STOP
96,STOP
97,STOP
98,STOP
99,STOP
100,STOP
101,STOP
102,STOP
103,STOP
104,STOP
105,STOP
106,STOP
107,STOP
108,STOP
109,STOP
110,STOP
111,STOP
112,STOP
113,STOP
114,STOP
115,STOP
116,STOP
117,STOP
118,STOP
119,STOP
120,STOP
121,STOP
122,STOP
123,STOP
124,STOP
125,STOP
126,STOP
127,STOP
128,STOP
129,STOP
130,STOP
131,STOP
132,STOP
133,STOP
134,STOP
135,STOP
136,STOP
137,STOP
138,STOP
139,STOP
140,STOP
141,STOP
142,STOP
143,STOP
144,STOP
145,STOP
146,STOP
147,STOP
148,STOP
149,STOP
150,STOP
151,STOP
152,STOP
153,STOP
154,STOP
155,STOP
156,STOP
157,STOP
158,STOP
159,STOP
160,STOP
161,STOP
162,STOP
163,STOP
164,STOP
165,STOP
166,STOP
167,STOP
168,STOP
169,STOP
170,STOP
171,STOP
172,STOP
173,STOP
174,STOP
175,STOP
176,STOP
177,STOP
178,STOP
179,STOP
180,STOP
181,STOP
182,STOP
183,STOP
184,STOP
185,STOP
186,STOP
187,STOP
188,STOP
189,STOP
190,STOP
191,STOP
192,STOP
193,STOP
194,STOP
195,STOP
196,STOP
197,STOP
198,STOP
199,STOP
200,STOP
201,STOP
202,STOP
203,STOP
204,STOP
205,STOP
206,STOP
207,STOP
208,STOP
209,STOP
210,STOP
211,STOP
212,STOP
213,STOP
214,STOP
215,STOP
216,STOP
217,STOP
218,STOP
219,STOP
220,STOP
221,STOP
222,STOP
223,STOP
224,STOP
225,STOP
226,STOP
227,STOP
228,STOP
229,STOP
230,STOP
231,STOP
232,STOP
233,STOP
234,STOP
235,STOP
236,STOP
237,STOP
238,STOP
239,STOP
240,STOP
241,STOP
242,STOP
243,STOP
244,STOP
245,STOP
246,STOP
247,STOP
248,STOP
249,STOP
250,STOP
251,STOP
252,STOP
253,STOP
254,STOP
255,STOP
256,STOP
257,STOP
258,STOP
259,STOP
260,STOP
261,STOP
262,STOP
263,STOP
264,STOP
265,STOP
